阪神線下り	普通	区間急行	プール臨停区間急行	急行	淀川臨停急行	プール臨停急行	花隈臨停急行	快速急行	特急
梅田→福島	90	75p	75p	75p	75p	75p	75p	75p	75p
福島→野田	100	80	80	80	80	80	80	80	55p
野田→淀川	85	65p	65p	65p	85	65p	65p	65p	40p
淀川→姫島	95	75	75	40p	70p	40p	40p	40p	40p
姫島→千船	115	85p	85p	55p	60p	55p	55p	55p	55p
千船→杭瀬	75	35p	35p	35p	35p	35p	35p	35p	35p
杭瀬→大物	95	55p	55p	55p	55p	55p	55p	55p	55p
大物→尼崎	85	60	60	60	60	60	60	60	30p
尼崎→出屋敷	95	70p	70p	70p	70p	70p	70p	70p	45p
出屋敷→センタープール前	85	30p	65	30p	30p	65	30p	30p	30p
センタープール前→武庫川	90	65	90	65	65	90	65	50p	50p
武庫川→鳴尾	85	70p	70p	70p	70p	70p	70p	45p	45p
鳴尾→滄枝園	75	50	50	50	50	50	50	50	50
滄枝園→久寿川	65	50p	50p	50p	50p	50p	50p	50p	50p
久寿川→今津	60	45	45	45	45	45	45	25p	25p
今津→西宮	120	120	120	120	120	120	120	95	95
西宮→香櫨園	75	75	75	60p	60p	60p	60p	60p	60p
香櫨園→打出	90	90	90	45p	45p	45p	45p	45p	45p
打出→芦屋	95	95	95	80	80	80	80	45p	80
芦屋→深江	85	85	85	65p	65p	65p	65p	45p	65p
深江→青木	100	100	100	80	80	80	80	45p	45p
青木→魚崎	90	90	90	90	90	90	90	45p	60
魚崎→住吉	75	75	75	55p	55p	55p	55p	30p	55p
住吉→御影	70	70	70	55	55	55	55	35p	55
御影→石屋川	60	60	60	45p	45p	45p	45p	35p	45p
石屋川→新在家	70	70	70	35p	35p	35p	35p	35p	35p
新在家→大石	90	90	90	35p	35p	35p	35p	35p	35p
大石→西灘	60	60	60	25p	25p	25p	25p	25p	25p
西灘→岩屋	60	60	60	45	45	45	45	25p	25p
岩屋→春日野道	85	85	85	75p	75p	75p	75p	65p	65p
春日野道→三宮	105	105	105	95	95	95	95	95	95
三宮→元町	90	90	90	90	90	90	90	90	90
元町→花隈	80	80	80	60p	60p	60p	80	60p	60p
花隈→大倉山	70	70	70	45p	45p	45p	55p	45p	45p
大倉山→湊川	75	75	75	60	60	60	60	60	60
