神姫線下り	時刻	普通	準急	長田停車準急	急行	長田停車急行	明舞停車急行	大蔵谷停車急行	白浜の宮停車急行	的形停車急行	的形・白浜の宮停車急行	特急	長田停車特急	妙法寺停車特急	玉子温泉停車特急	多聞停車特急	藤江停車特急	白浜の宮停車特急	快特	藤江停車快特	白浜の宮停車快特	高砂通過快特
湊川→会下山	20	120	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p	110p
会下山→長田	20	75	35p	60	35p	60	35p	35p	35p	35p	35p	35p	60	35p	35p	35p	35p	35p	35p	35p	35p	35p
長田→板宿	20	130	75p	110p	75p	110p	75p	75p	75p	75p	75p	75p	110p	75p	75p	75p	75p	75p	75p	75p	75p	75p
板宿→妙法寺	30	135	120	120	120	120	120	120	120	120	120	95p	95p	120	95p	95p	95p	95p	95p	95p	95p	95p
妙法寺→昴麓園	20	165	165	165	145p	145p	145p	145p	145p	145p	145p	110p	110p	145p	110p	110p	110p	110p	110p	110p	110p	110p
昴麓園→奥畑	20	110	110	110	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p
奥畑→玉子温泉	30	100	100	100	80	80	80	80	80	80	80	45p	45p	45p	80	45p	45p	45p	45p	45p	45p	45p
玉子温泉→陣屋	20	110	110	110	95p	95p	95p	95p	95p	95p	95p	50p	50p	50p	95p	50p	50p	50p	50p	50p	50p	50p
陣屋→大沢	20	105	105	105	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p
大沢→多聞	30	95	95	95	75	75	75	75	75	75	75	40p	40p	40p	40p	75	40p	40p	40p	40p	40p	40p
多聞→明舞	20	95	95	95	70p	70p	95	70p	70p	70p	70p	40p	40p	40p	40p	70p	40p	40p	40p	40p	40p	40p
明舞→大蔵谷	20	90	90	90	55p	55p	70p	75	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p
大蔵谷→明石	40	105	105	105	80	80	80	105	80	80	80	80	80	80	80	80	80	80	80	80	80	80
明石→西新町	30	105	105	105	105	105	105	105	105	105	105	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p
西新町→林崎	20	100	100	100	85p	85p	85p	85p	85p	85p	85p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p
林崎→藤江	30	140	140	140	115	115	115	115	115	115	115	70p	70p	70p	70p	70p	110	110	70p	110	70p	70p
藤江→中八木	20	95	95	95	75p	75p	75p	75p	75p	75p	75p	45p	45p	45p	45p	45p	75p	75p	45p	75p	45p	45p
中八木→江井ヶ島	20	115	115	115	65p	65p	65p	65p	65p	65p	65p	60p	60p	60p	60p	60p	65p	65p	60p	65p	60p	60p
江井ヶ島→西江井ヶ島	20	95	95	95	45p	45p	45p	45p	45p	45p	45p	40p	40p	40p	40p	40p	45p	45p	40p	45p	40p	40p
西江井ヶ島→魚住	20	70	70	70	20p	20p	20p	20p	20p	20p	20p	25p	25p	25p	25p	25p	20p	20p	25p	20p	25p	25p
魚住→東二見	40	125	125	125	90	90	90	90	90	90	90	95	95	95	95	95	90	90	60p	55p	60p	60p
東二見→西二見	20	100	100	100	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	45p	45p	45p	45p
西二見→阿閇	20	95	95	95	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	40p	40p	40p	40p
阿閇→別府	20	135	135	135	95	95	95	95	95	95	95	70p	70p	70p	70p	70p	70p	70p	75p	75p	75p	75p
別府→浜の宮	20	125	125	125	105p	105p	105p	105p	105p	105p	105p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p
浜の宮→尾上の松	20	105	105	105	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	55p	50p	50p	50p	50p
尾上の松→高砂	40	130	130	130	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	105	75p
高砂→荒井	20	85	85	85	85	85	85	85	85	85	85	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	40p
荒井→伊保	20	90	90	90	70p	70p	70p	70p	70p	70p	70p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p
伊保→曽根	20	115	115	115	65p	65p	65p	65p	65p	65p	65p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p
曽根→大塩	30	125	125	125	95	95	95	95	95	95	95	90	90	90	90	90	90	90	50p	50p	50p	50p
大塩→的形	20	100	100	100	80p	80p	80p	80p	80p	100	100	80p	80p	80p	80p	80p	80p	80p	45p	45p	45p	45p
的形→八家	20	120	120	120	70p	70p	70p	70p	70p	100p	100p	70p	70p	70p	70p	70p	70p	70p	65p	65p	65p	65p
八家→白浜の宮	20	100	100	100	45p	45p	45p	45p	70	50p	75	45p	45p	45p	45p	45p	45p	70	45p	45p	70	45p
白浜の宮→妻鹿	20	105	105	105	50p	50p	50p	50p	85p	50p	85p	50p	50p	50p	50p	50p	50p	85p	50p	50p	85p	50p
妻鹿→飾磨	40	130	130	130	100	100	100	100	105	100	105	100	100	100	100	100	100	105	100	100	105	100
飾磨→亀山	20	105	105	105	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p
亀山→手柄	20	85	85	85	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p
手柄→姫路	40	110	110	110	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85	85
