神姫線上り	時刻	普通	準急	長田停車準急	急行	長田停車急行	明舞停車急行	大蔵谷停車急行	白浜の宮停車急行	的形停車急行	的形・白浜の宮停車急行	特急	長田停車特急	妙法寺停車特急	玉子温泉停車特急	多聞停車特急	藤江停車特急	白浜の宮停車特急	快特	藤江停車快特	白浜の宮停車快特	高砂通過快特
姫路→手柄	20	95	95	95	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p
手柄→亀山	20	85	85	85	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p
亀山→飾磨	40	115	115	115	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95
飾磨→妻鹿	20	120	120	120	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p
妻鹿→白浜の宮	20	100	100	100	55p	55p	55p	55p	75	55p	75	55p	55p	55p	55p	55p	55p	75	55p	55p	75	55p
白浜の宮→八家	20	100	100	100	50p	50p	50p	50p	80p	50p	80p	50p	50p	50p	50p	50p	50p	80p	50p	50p	80p	50p
八家→的形	20	120	120	120	60p	60p	60p	60p	70p	85	95	60p	60p	60p	60p	60p	60p	70p	60p	60p	70p	60p
的形→大塩	30	110	110	110	85	85	85	85	85	110	110	85	85	85	85	85	85	85	50p	50p	50p	50p
大塩→曽根	20	115	115	115	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	55p	55p	55p	55p
曽根→伊保	20	110	110	110	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	55p	55p	55p	55p
伊保→荒井	20	90	90	90	65	65	65	65	65	65	65	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p	40p
荒井→高砂	40	95	95	95	95	95	95	95	95	95	95	75	75	75	75	75	75	75	75	75	75	40p
高砂→尾上の松	20	120	120	120	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	100p	75p
尾上の松→浜の宮	20	110	110	110	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p
浜の宮→別府	20	125	125	125	90	90	90	90	90	90	90	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p	65p
別府→阿閇	20	135	135	135	115p	115p	115p	115p	115p	115p	115p	70p	70p	70p	70p	70p	70p	70p	70p	70p	70p	70p
阿閇→西二見	20	95	95	95	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p
西二見→東二見	40	110	110	110	80	80	80	80	80	80	80	80	80	80	80	80	80	80	45p	45p	45p	45p
東二見→魚住	20	110	110	110	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	90p	60p	60p	60p	60p
魚住→西江井ヶ島	20	70	70	70	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p	25p
西江井ヶ島→江井ヶ島	20	95	95	95	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	40p	40p	40p	40p
江井ヶ島→中八木	20	120	120	120	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	60p	55p	55p	55p	55p
中八木→藤江	30	105	105	105	80	80	80	80	80	80	80	40p	40p	40p	40p	40p	80	80	45p	80	45p	45p
藤江→林崎	20	130	130	130	105p	105p	105p	105p	105p	105p	105p	70p	70p	70p	70p	70p	105p	105p	65p	105p	65p	65p
林崎→西新町	30	110	110	110	85	85	85	85	85	85	85	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p	45p
西新町→明石	40	105	105	105	105	105	105	105	105	105	105	80	80	80	80	80	80	80	80	80	80	80
明石→大蔵谷	20	105	105	105	80p	80p	80p	105	80p	80p	80p	80p	80p	80p	80p	80p	80p	80p	80p	80p	80p	80p
大蔵谷→明舞	20	115	115	115	75p	75p	85	105p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p	75p
明舞→多聞	30	100	100	100	80	80	100	80	80	80	80	45p	45p	45p	45p	80	45p	45p	45p	45p	45p	45p
多聞→大沢	20	85	85	85	75p	75p	75p	75p	75p	75p	75p	45p	45p	45p	45p	75p	45p	45p	45p	45p	45p	45p
大沢→陣屋	20	130	130	130	85p	85p	85p	85p	85p	85p	85p	75p	75p	75p	75p	85p	75p	75p	75p	75p	75p	75p
陣屋→玉子温泉	30	105	105	105	90	90	90	90	90	90	90	45p	45p	45p	90	45p	45p	45p	45p	45p	45p	45p
玉子温泉→奥畑	20	90	90	90	75p	75p	75p	75p	75p	75p	75p	45p	45p	45p	75p	45p	45p	45p	45p	45p	45p	45p
奥畑→昴麓園	20	140	140	140	90p	90p	90p	90p	90p	90p	90p	85p	85p	85p	90p	85p	85p	85p	85p	85p	85p	85p
昴麓園→妙法寺	30	140	140	140	125	125	125	125	125	125	125	80p	80p	125	80p	80p	80p	80p	80p	80p	80p	80p
妙法寺→板宿	20	115	100p	100p	100p	100p	100p	100p	100p	100p	100p	75p	75p	100p	75p	75p	75p	75p	75p	75p	75p	75p
板宿→長田	20	125	75p	105	75p	105	75p	75p	75p	75p	75p	75p	105	75p	75p	75p	75p	75p	75p	75p	75p	75p
長田→会下山	20	85	30p	65p	30p	65p	30p	30p	30p	30p	30p	30p	65p	30p	30p	30p	30p	30p	30p	30p	30p	30p
会下山→湊川	40	130	110	115	110	115	110	110	110	110	110	110	115	110	110	110	110	110	110	110	110	110
