駅ID	駅名(漢字)	駅格	略称	駅名(ひらがな)	駅名(カタカナ)	駅名(ローマ字)	駅名(簡体字)	駅名(繁体字)	駅名(韓国語)	住所	駅番号	自社	連動駅	線路数
0100	梅田	停車場	梅　田	うめだ	ウメダ	Umeda	梅田	梅田	우메다	大阪市北区梅田１丁目	S01	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,7番線,8番線,引上9番線,NK番線
0101	福島	停車場	福　島	ふくしま	フクシマ	Fukushima	福岛	福島	후쿠시마	大阪市福島区福島５丁目	S02	TRUE	TRUE	1番線,2番線
0105	野田	停車場	野　田	のだ	ノダ	Noda	野田	野田	노다	大阪市福島区海老江１丁目	S03	TRUE	TRUE	1番線,2番線,3番線,4番線,O番線,K番線
0106	淀川	停留場	淀　川	よどがわ	ヨドガワ	Yodogawa	淀川	淀川	요도가와	大阪市福島区海老江８丁目	S04	TRUE	FALSE	1番線,2番線
0110	姫島	停車場	姫　島	ひめじま	ヒメジマ	Himejima	姫岛	姫島	히메지마	大阪市西淀川区姫里１丁目	S05	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,引上7番線,O番線
0111	千船	停車場	千　船	ちぶね	チブネ	Chibune	千船	千船	지부네	大阪市西淀川区佃２丁目	S06	TRUE	TRUE	1番線,2番線,3番線,4番線,O番線,K番線
0112	杭瀬	停留場	杭　瀬	くいせ	クイセ	Kuise	杭濑	杭瀨	구이세	尼崎市杭瀬本町１丁目	S07	TRUE	FALSE	1番線,2番線
0113	大物	停車場	大　物	だいもつ	ダイモツ	Daimotsu	大物	大物	다이모쑤	尼崎市大物町２丁目	S08	TRUE	TRUE	1番線,2番線,3番線,4番線
0120	尼崎	停車場	尼　崎	あまがさき	アマガサキ	Amagasaki	尼崎	尼崎	아마가사키	尼崎市御園町	S09,B09,N09	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,7番線,8番線,9番線,10番線,11番線,引上12番線,引上13番線,引上14番線,引上15番線,引上16番線,入庫線,出庫線
0125	出屋敷	停留場	出屋敷	でやしき	デヤシキ	Deyashiki	出屋敷	出屋敷	데야시키	尼崎市竹谷町２丁目	S10	TRUE	FALSE	1番線,2番線,3番線,K番線
0126	センタープール前	停車場	プール	せんたーぷーるまえ	センタープールマエ	Center-Pool-mae	赛艇场前	赛艇场前	센타푸루마에	尼崎市水明町	S11	TRUE	TRUE	1番線,2番線,3番線,4番線,O番線,K番線
0127	武庫川	停車場	武庫川	むこがわ	ムコガワ	Mukogawa	武库川	武庫川	무코가와	西宮市小松南町１丁目	S12	TRUE	TRUE	1番線,2番線,3番線,4番線
0128	鳴尾	停留場	鳴　尾	なるお	ナルオ	Naruo	鸣尾	鳴尾	나루오	西宮市鳴尾町３丁目	S13	TRUE	FALSE	1番線,2番線
0130	滄枝園	停車場	滄枝園	そうしえん	ソウシエン	Soshien	沧枝园	滄枝園	소시엔	西宮市滄枝園浦風町	S14	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線,O番線
0131	久寿川	停留場	久寿川	くすがわ	クスガワ	Kusugawa	久寿川	久壽川	구스가와	西宮市今津曙町	S15	TRUE	FALSE	1番線,2番線
0132	今津	停車場	今　津	いまづ	イマヅ	Imazu	今津	今津	이마즈	西宮市今津水波町	S16	TRUE	TRUE	1番線,2番線,3番線,引上4番線,O番線
0140	西宮	停車場	西　宮	にしのみや	ニシノミヤ	Nishinomiya	西宫	西宮	니시노미야	西宮市田中町	S17	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,引上7番線,O番線,NO番線,山側入庫線,海側入庫線,山側出庫線,海側出庫線
0141	香櫨園	停留場	香櫨園	こうろえん	コウロエン	Koroen	香栌园	香櫨園	고로엔	西宮市宮西町	S18	TRUE	FALSE	1番線,2番線
0142	打出	停留場	打　出	うちで	ウチデ	Uchide	打出	打出	우지데	芦屋市打出小槌町	S19	TRUE	FALSE	1番線,2番線
0143	芦屋	停留場	芦　屋	あしや	アシヤ	Ashiya	芦屋	蘆屋	아시야	芦屋市精道町	S20	TRUE	FALSE	1番線,2番線
0144	深江	停留場	深　江	ふかえ	フカエ	Fukae	深江	深江	후카에	甲南市深江北町４丁目	S21	TRUE	FALSE	1番線,2番線
0145	青木	停車場	青　木	おおぎ	オオギ	Ogi	青木	青木	오기	甲南市青木６丁目	S22	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線,O番線,K番線
0146	魚崎	停留場	魚　崎	うおざき	ウオザキ	Uozaki	鱼崎	魚崎	우오자키	甲南市魚崎中町４丁目	S23	TRUE	FALSE	1番線,2番線
0147	住吉	停留場	住　吉	すみよし	スミヨシ	Sumiyoshi	住吉	住吉	스미요시	甲南市住吉宮町５丁目	S24	TRUE	FALSE	1番線,2番線
